interaction_kind,key_type_tuple,coeff_param_sets
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[53,54,55],[79,80,81]]","[[""0.000"",""0.000"",""0.468"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[43,44,45,46,47,48,49,50],[53,54,55]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[68],[73]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[68],[74]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[40,41,42],[29,30]]","[[""0.000"",""0.000"",""0.450"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[43,44,45,46,47,48,49,50],[51,52]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[61,62,63],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[79,80,81],[31,32]]","[[""0.000"",""0.000"",""0.198"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[88],[33,34]]","[[""0.000"",""0.000"",""0.198"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[25,26],[40,41,42]]","[[""0.000"",""0.000"",""0.180"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[25,26],[56,57,58,59,60]]","[[""0.000"",""0.000"",""0.180"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[25,26],[84,85,86,87]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[27,28],[56,57,58,59,60]]","[[""0.000"",""0.000"",""0.180"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[27,28],[84,85,86,87]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[27,28],[91]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[29,30],[89,90]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[35],[31,32]]","[[""0.000"",""0.000"",""-0.100"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[35],[43,44,45,46,47,48,49,50]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[35],[61,62,63]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[36,37,38],[43,44,45,46,47,48,49,50]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[36,37,38],[64,65,66,67]]","[[""0.000"",""0.000"",""0.462"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[53,54,55],[79,80,81]]","[[""0.000"",""0.000"",""0.468"",""0.000""]]"
dihedral,"[[20,21,22],[69,70,71,72],[64,65,66,67],[36,37,38]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[69,70,71,72],[64,65,66,67],[39]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[69,70,71,72],[64,65,66,67],[51,52]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[69,70,71,72],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[69,70,71,72],[69,70,71,72],[20,21,22]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[69,70,71,72],[69,70,71,72],[64,65,66,67]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[69,70,71,72],[69,70,71,72],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[73],[68],[51,52]]","[[""0.000"",""10.750"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[73],[68],[74]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[73],[76],[39]]","[[""0.000"",""5.000"",""0.000"",""0.000""]]"
dihedral,"[[20,21,22],[73],[76],[75]]","[[""0.000"",""5.000"",""0.000"",""0.000""]]"
dihedral,"[[23,24],[91],[27,28],[56,57,58,59,60]]","[[""-0.750"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[23,24],[91],[27,28],[84,85,86,87]]","[[""0.750"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[23,24],[92],[33,34],[43,44,45,46,47,48,49,50]]","[[""1.500"",""5.500"",""0.000"",""0.000""]]"
dihedral,"[[23,24],[92],[33,34],[82,83]]","[[""0.000"",""5.500"",""0.000"",""0.000""]]"
dihedral,"[[25,26],[40,41,42],[40,41,42],[29,30]]","[[""5.200"",""-0.500"",""0.000"",""0.000""]]"
dihedral,"[[25,26],[84,85,86,87],[27,28],[56,57,58,59,60]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[25,26],[84,85,86,87],[27,28],[84,85,86,87]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[27,28],[84,85,86,87],[25,26],[40,41,42]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[27,28],[84,85,86,87],[25,26],[56,57,58,59,60]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[27,28],[84,85,86,87],[27,28],[56,57,58,59,60]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[27,28],[84,85,86,87],[27,28],[84,85,86,87]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[27,28],[84,85,86,87],[27,28],[91]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[29,30],[40,41,42],[53,54,55],[88]]","[[""0.000"",""0.000"",""0.468"",""0.000""]]"
dihedral,"[[29,30],[89,90],[29,30],[40,41,42]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[29,30],[89,90],[29,30],[56,57,58,59,60]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[29,30],[89,90],[29,30],[89,90]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[31,32],[35],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""-2.060"",""-0.313"",""0.315"",""0.000""]]"
dihedral,"[[31,32],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[31,32]]","[[""-0.550"",""0.000"",""1.000"",""0.000""]]"
dihedral,"[[31,32],[79,80,81],[53,54,55],[43,44,45,46,47,48,49,50]]","[[""-1.220"",""-0.126"",""0.422"",""0.000""]]"
dihedral,"[[31,32],[79,80,81],[53,54,55],[61,62,63]]","[[""-1.220"",""-0.126"",""0.422"",""0.000""]]"
dihedral,"[[33,34],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[33,34]]","[[""-0.550"",""0.000"",""1.000"",""0.000""]]"
dihedral,"[[33,34],[88],[53,54,55],[40,41,42]]","[[""-1.220"",""-0.126"",""0.422"",""0.000""]]"
dihedral,"[[35],[31,32],[79,80,81],[53,54,55]]","[[""4.669"",""5.124"",""0.000"",""0.000""]]"
dihedral,"[[35],[43,44,45,46,47,48,49,50],[36,37,38],[43,44,45,46,47,48,49,50]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[35],[43,44,45,46,47,48,49,50],[36,37,38],[64,65,66,67]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[36,37,38],[43,44,45,46,47,48,49,50],[35],[61,62,63]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[36,37,38],[43,44,45,46,47,48,49,50],[36,37,38],[43,44,45,46,47,48,49,50]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[36,37,38],[43,44,45,46,47,48,49,50],[36,37,38],[61,62,63]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[36,37,38],[43,44,45,46,47,48,49,50],[36,37,38],[64,65,66,67]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[36,37,38],[43,44,45,46,47,48,49,50],[39],[64,65,66,67]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[36,37,38],[43,44,45,46,47,48,49,50],[39],[76]]","[[""2.392"",""-0.674"",""0.550"",""0.000""]]"
dihedral,"[[36,37,38],[43,44,45,46,47,48,49,50],[51,52],[64,65,66,67]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[36,37,38],[64,65,66,67],[69,70,71,72],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[39],[43,44,45,46,47,48,49,50],[36,37,38],[43,44,45,46,47,48,49,50]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[39],[43,44,45,46,47,48,49,50],[36,37,38],[64,65,66,67]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[39],[64,65,66,67],[69,70,71,72],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[39],[76],[73],[68]]","[[""0.000"",""5.000"",""0.000"",""0.000""]]"
dihedral,"[[39],[76],[75],[74]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[40,41,42],[40,41,42],[25,26],[56,57,58,59,60]]","[[""1.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[40,41,42],[40,41,42],[25,26],[84,85,86,87]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[40,41,42],[40,41,42],[29,30],[89,90]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[31,32],[79,80,81],[53,54,55]]","[[""4.669"",""5.124"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[33,34],[88],[53,54,55]]","[[""4.669"",""5.124"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[35],[31,32],[77,78]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[35],[31,32],[79,80,81]]","[[""0.000"",""0.000"",""-0.553"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[36,37,38],[43,44,45,46,47,48,49,50],[51,52]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[36,37,38],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[39],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[39],[76],[73]]","[[""1.000"",""-0.350"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[39],[76],[75]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[31,32],[77,78]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[31,32],[79,80,81]]","[[""0.000"",""0.000"",""-0.553"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[33,34],[82,83]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[33,34],[88]]","[[""0.000"",""0.000"",""-0.553"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[33,34],[92]]","[[""1.000"",""0.546"",""0.450"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[51,52],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[51,52],[68],[73]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[43,44,45,46,47,48,49,50],[51,52],[68],[74]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[51,52],[43,44,45,46,47,48,49,50],[36,37,38],[64,65,66,67]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[51,52],[43,44,45,46,47,48,49,50],[53,54,55],[79,80,81]]","[[""1.711"",""-0.500"",""0.663"",""0.000""]]"
dihedral,"[[51,52],[64,65,66,67],[69,70,71,72],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[51,52],[68],[73],[76]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[51,52],[68],[74],[75]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[53,54,55],[40,41,42],[29,30],[89,90]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[53,54,55],[43,44,45,46,47,48,49,50],[51,52],[68]]","[[""1.300"",""-0.200"",""0.200"",""0.000""]]"
dihedral,"[[53,54,55],[79,80,81],[31,32],[77,78]]","[[""0.000"",""5.124"",""0.000"",""0.000""]]"
dihedral,"[[53,54,55],[88],[33,34],[82,83]]","[[""0.000"",""5.124"",""0.000"",""0.000""]]"
dihedral,"[[61,62,63],[35],[31,32],[77,78]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[61,62,63],[35],[31,32],[79,80,81]]","[[""0.000"",""0.000"",""-0.553"",""0.000""]]"
dihedral,"[[61,62,63],[36,37,38],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[64,65,66,67],[39],[76],[73]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[64,65,66,67],[39],[76],[75]]","[[""0.000"",""2.170"",""0.000"",""0.000""]]"
dihedral,"[[64,65,66,67],[69,70,71,72],[69,70,71,72],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[68],[73],[76],[75]]","[[""0.000"",""5.000"",""0.000"",""0.000""]]"
dihedral,"[[68],[74],[75],[76]]","[[""0.000"",""10.000"",""0.000"",""0.000""]]"
dihedral,"[[69,70,71,72],[64,65,66,67],[39],[76]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[69,70,71,72],[64,65,66,67],[69,70,71,72],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[69,70,71,72],[69,70,71,72],[69,70,71,72],[69,70,71,72]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[73],[68],[74],[75]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[73],[76],[75],[74]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
dihedral,"[[74],[68],[73],[76]]","[[""0.000"",""7.250"",""0.000"",""0.000""]]"
improper,"[[25,26],[40,41,42],[56,57,58,59,60],[56,57,58,59,60]]","[[""0.000"",""-1"",""2""]]"
improper,"[[25,26],[40,41,42],[56,57,58,59,60],[84,85,86,87]]","[[""0.000"",""-1"",""2""]]"
improper,"[[25,26],[56,57,58,59,60],[56,57,58,59,60],[84,85,86,87]]","[[""0.000"",""-1"",""2""]]"
improper,"[[27,28],[56,57,58,59,60],[56,57,58,59,60],[84,85,86,87]]","[[""0.000"",""-1"",""2""]]"
improper,"[[27,28],[56,57,58,59,60],[56,57,58,59,60],[91]]","[[""0.000"",""-1"",""2""]]"
improper,"[[27,28],[56,57,58,59,60],[84,85,86,87],[84,85,86,87]]","[[""0.000"",""-1"",""2""]]"
improper,"[[27,28],[56,57,58,59,60],[84,85,86,87],[91]]","[[""0.000"",""-1"",""2""]]"
improper,"[[29,30],[40,41,42],[89,90],[89,90]]","[[""0.000"",""-1"",""2""]]"
improper,"[[29,30],[56,57,58,59,60],[89,90],[89,90]]","[[""0.000"",""-1"",""2""]]"
improper,"[[29,30],[89,90],[89,90],[89,90]]","[[""0.000"",""-1"",""2""]]"
improper,"[[31,32],[35],[77,78],[79,80,81]]","[[""10.500"",""-1"",""2""]]"
improper,"[[31,32],[43,44,45,46,47,48,49,50],[77,78],[79,80,81]]","[[""10.500"",""-1"",""2""]]"
improper,"[[33,34],[43,44,45,46,47,48,49,50],[82,83],[88]]","[[""10.500"",""-1"",""2""]]"
improper,"[[33,34],[43,44,45,46,47,48,49,50],[82,83],[92]]","[[""10.500"",""-1"",""2""]]"
improper,"[[35],[31,32],[43,44,45,46,47,48,49,50],[61,62,63]]","[[""0.000"",""-1"",""2""]]"
improper,"[[36,37,38],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50]]","[[""0.000"",""-1"",""2""]]"
improper,"[[36,37,38],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[61,62,63]]","[[""0.000"",""-1"",""2""]]"
improper,"[[36,37,38],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[64,65,66,67]]","[[""0.000"",""-1"",""2""]]"
improper,"[[36,37,38],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[64,65,66,67]]","[[""0.000"",""-1"",""2""]]"
improper,"[[36,37,38],[43,44,45,46,47,48,49,50],[61,62,63],[64,65,66,67]]","[[""0.000"",""-1"",""2""]]"
improper,"[[39],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[76]]","[[""0.000"",""-1"",""2""]]"
improper,"[[39],[43,44,45,46,47,48,49,50],[64,65,66,67],[76]]","[[""0.000"",""-1"",""2""]]"
improper,"[[40,41,42],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[25,26],[40,41,42]]","[[""0.000"",""-1"",""2""]]"
improper,"[[40,41,42],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[29,30],[40,41,42]]","[[""0.000"",""-1"",""2""]]"
improper,"[[40,41,42],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[29,30],[53,54,55]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[31,32],[43,44,45,46,47,48,49,50]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[33,34],[43,44,45,46,47,48,49,50]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[35],[36,37,38]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[36,37,38]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[39]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[51,52]]","[[""0.000"",""-1"",""2""]]"
improper,"[[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[53,54,55]]","[[""0.000"",""-1"",""2""]]"
improper,"[[51,52],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50]]","[[""0.000"",""-1"",""2""]]"
improper,"[[51,52],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[64,65,66,67]]","[[""0.000"",""-1"",""2""]]"
improper,"[[51,52],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[68]]","[[""0.000"",""-1"",""2""]]"
improper,"[[53,54,55],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[79,80,81]]","[[""0.000"",""-1"",""2""]]"
improper,"[[53,54,55],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[88]]","[[""0.000"",""-1"",""2""]]"
improper,"[[53,54,55],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[79,80,81]]","[[""0.000"",""-1"",""2""]]"
improper,"[[53,54,55],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[79,80,81]]","[[""0.000"",""-1"",""2""]]"
improper,"[[56,57,58,59,60],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[25,26]]","[[""0.000"",""-1"",""2""]]"
improper,"[[56,57,58,59,60],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[27,28]]","[[""0.000"",""-1"",""2""]]"
improper,"[[56,57,58,59,60],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[29,30]]","[[""0.000"",""-1"",""2""]]"
improper,"[[61,62,63],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""-1"",""2""]]"
improper,"[[61,62,63],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[35]]","[[""0.000"",""-1"",""2""]]"
improper,"[[61,62,63],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38]]","[[""0.000"",""-1"",""2""]]"
improper,"[[61,62,63],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55]]","[[""0.000"",""-1"",""2""]]"
improper,"[[64,65,66,67],[36,37,38],[69,70,71,72],[69,70,71,72]]","[[""2.500"",""-1"",""2""]]"
improper,"[[64,65,66,67],[39],[69,70,71,72],[69,70,71,72]]","[[""2.500"",""-1"",""2""]]"
improper,"[[64,65,66,67],[51,52],[69,70,71,72],[69,70,71,72]]","[[""2.500"",""-1"",""2""]]"
improper,"[[68],[51,52],[73],[74]]","[[""2.500"",""-1"",""2""]]"
improper,"[[69,70,71,72],[20,21,22],[64,65,66,67],[69,70,71,72]]","[[""2.500"",""-1"",""2""]]"
improper,"[[69,70,71,72],[20,21,22],[69,70,71,72],[69,70,71,72]]","[[""2.500"",""-1"",""2""]]"
improper,"[[73],[20,21,22],[68],[76]]","[[""2.500"",""-1"",""2""]]"
improper,"[[76],[39],[73],[75]]","[[""0.000"",""-1"",""2""]]"
